Diet:Counts	Cancer:Counts
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	Yes
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Never	No
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	Yes
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
Small	No
